name,time(utc),avgPrice(ETH),floorPrice(ETH),salesScatter(ETH),marketCap($),volume($)
CryptoPunks,2022-03-08 08:00:00,53.04857142857143,64.95,71.99,1646457103.221795,946701.3142743111
CryptoPunks,2022-03-09 08:00:00,71.71611111111112,65.95,75,1647289920.2868173,3467012.049981594
CryptoPunks,2022-03-10 08:00:00,69.8719988,66.5,75.9,1647442612.396252,919210.9605464935
CryptoPunks,2022-03-11 08:00:00,77.06963636363635,69.69,0,1650984181.0277882,10913162.734529018
CryptoPunks,2022-03-12 08:00:00,86.56382978723403,70.4,0,1652300388.082458,10466732.331870556
CryptoPunks,2022-03-13 08:00:00,75.42,69.69,66.5,1652406459.5924964,1945341.3124752045
CryptoPunks,2022-03-14 08:00:00,80.16999999999999,69.5,81.95,1652695851.2443464,1435420.5541110039
CryptoPunks,2022-03-15 08:00:00,63.5,67,78,1652639929.7708988,821866.0851125717
CryptoPunks,2022-03-16 08:00:00,66.35818181818182,63.5,78.99000000000001,1652410955.8858726,1946392.5931653976
CryptoPunks,2022-03-17 08:00:00,71.89166666666667,67,94.95,1653123032.7063248,3620292.512722969
CryptoPunks,2022-03-18 08:00:00,74.648,72.89,95.00000000000001,1655169438.2107387,6493410.871629238
CryptoPunks,2022-03-19 08:00:00,76.08862068965517,69.95,100,1658056024.1077578,6524084.229296207
CryptoPunks,2022-03-20 08:00:00,69.56199999999998,71.95,0,1658833907.7547019,3031143.299768448
CryptoPunks,2022-03-21 08:00:00,72.37999999999998,72.5,66.67999999999999,1659016999.7205765,2711998.0132112503
CryptoPunks,2022-03-22 08:00:00,80.20125,72.9,66.39999999999999,1659259669.456241,1918140.6302814484
CryptoPunks,2022-03-23 08:00:00,70.6875,71.95,64.95,1659815437.9843853,1677496.8919820786
CryptoPunks,2022-03-24 08:00:00,63.43692307692308,72.89,65.42,1659916648.990135,2515335.817604065
CryptoPunks,2022-03-25 08:00:00,78.03999999999999,72.69,68,1659185185.5406148,1215148.3400259018
CryptoPunks,2022-03-26 08:00:00,62.83166666666667,70.95,65,1659305374.6305795,1176516.5663542747
CryptoPunks,2022-03-27 08:00:00,66.57166666666667,71.95,66.6,1659598773.748845,1269132.1525802612
CryptoPunks,2022-03-28 08:00:00,81.99083333333334,71,105.95,1661025382.811043,3291144.3177638054
CryptoPunks,2022-03-29 08:00:00,216.99999999999997,71,73.94999999999999,1661758493.3742163,733646.9200611115
CryptoPunks,2022-03-30 08:00:00,74.56444444444445,69.69,64,1662334134.3088791,2274726.3878703117
CryptoPunks,2022-03-31 08:00:00,70.375,68.89,72.49999999999999,1662685707.8058236,938113.6047735214
CryptoPunks,2022-04-01 08:00:00,72.1125,67.5,64.5,1663007072.1060944,982095.4694437981
CryptoPunks,2022-04-02 08:00:00,45.52961538461538,68,80,1660489889.2458982,4117137.193007946
CryptoPunks,2022-04-03 08:00:00,125.87571428571428,68.5,65.95,1662044518.2277231,3079766.214346409
CryptoPunks,2022-04-04 08:00:00,61.09090909090909,68.4,69.419994,1662946028.164883,2343732.1486406326
CryptoPunks,2022-04-05 08:00:00,72.9375,67.8,69.99000000000001,1663728476.6939387,2025917.5260753632
CryptoPunks,2022-04-06 08:00:00,21.333333333333332,67.5,64,1663109477.4546695,215606.0003285408
Bored Ape Yacht Club,2022-03-08 08:00:00,85.50538390092726,74.69,68,870632706.3981345,5657211.910187721
Bored Ape Yacht Club,2022-03-09 08:00:00,78.88988923463668,73.5,70,872103130.2109512,2150568.130133629
Bored Ape Yacht Club,2022-03-10 08:00:00,88.33123583705242,74,70,872437834.0734024,1166105.002815485
Bored Ape Yacht Club,2022-03-11 08:00:00,76.09871040716348,73,81.82762771219679,873566379.1821344,2356512.145533085
Bored Ape Yacht Club,2022-03-12 08:00:00,86.80531944784096,85,70,877173668.7891159,8525979.72548151
